id,label
1,2
2,0
4,3
5,3
7,4
10,3
12,0
14,3
15,2
16,2
17,1
19,4
21,0
22,0
23,0
25,3
26,3
27,2
28,0
29,0
34,3
35,3
37,3
39,0
42,4
45,4
47,0
49,2
50,3
51,1
52,3
57,3
60,1
61,0
63,0
64,4
65,2
66,3
67,2
70,0
72,3
73,2
74,3
76,0
80,3
83,3
84,1
85,1
88,4
89,4
96,1
100,0
102,3
104,3
105,1
109,4
111,3
117,2
118,0
121,2
124,2
125,2
126,3
127,4
128,1
129,1
130,0
131,3
135,1
136,1
138,1
139,0
143,2
148,2
149,1
150,2
151,4
154,1
157,2
158,0
160,2
161,1
163,2
164,0
165,3
166,4
168,0
171,3
175,3
176,0
179,4
181,2
182,4
183,1
184,0
186,4
187,0
191,2
192,1
193,2
200,3
201,2
202,2
207,0
209,3
216,3
223,4
227,3
228,1
231,0
232,4
235,3
236,4
237,3
238,1
240,1
242,1
245,4
246,1
247,1
248,3
255,3
256,2
258,3
260,1
261,2
263,0
264,0
267,1
273,4
275,1
278,2
279,4
283,3
287,0
289,1
290,1
291,1
292,2
293,4
294,2
295,3
298,4
300,3
301,1
302,3
304,2
305,2
306,0
307,3
310,1
311,0
312,4
314,1
315,4
316,2
317,2
322,1
323,3
324,2
326,3
327,2
329,2
330,3
332,3
333,3
334,3
336,1
338,3
340,4
341,1
342,3
344,4
349,2
351,0
353,2
354,4
357,0
359,0
360,3
362,0
363,3
364,4
365,2
367,1
368,4
371,2
384,2
385,3
387,1
391,3
392,3
396,4
399,0
401,4
403,2
406,0
408,0
410,3
411,1
412,1
413,2
414,3
415,4
416,4
417,2
418,4
420,2
421,2
425,0
433,3
436,4
438,4
439,1
440,4
442,3
444,2
445,0
446,2
447,2
450,1
454,1
456,0
460,2
464,1
467,3
472,2
473,3
477,0
478,2
483,3
484,4
486,3
487,2
489,0
490,2
491,0
492,0
493,1
495,2
496,1
498,4
500,1
504,4
506,1
507,1
510,1
511,1
513,2
514,2
515,2
518,0
525,2
526,0
527,2
529,1
532,1
534,4
537,4
538,2
542,1
543,0
544,3
546,2
547,3
548,1
550,2
551,1
553,1
554,2
556,4
562,4
566,4
569,0
571,4
572,3
576,2
577,1
578,1
581,4
582,4
583,3
584,0
586,3
587,1
591,0
596,4
602,1
604,4
608,3
610,4
616,4
618,2
619,3
621,2
622,4
623,0
624,1
625,4
627,3
628,3
633,4
636,3
637,3
638,2
642,4
644,0
648,0
649,3
651,3
652,4
654,3
657,0
659,2
660,4
666,0
669,1
674,3
677,3
678,3
680,3
683,3
684,4
687,2
688,4
689,2
691,4
692,2
695,3
696,4
697,4
698,1
699,0
701,1
702,4
704,2
706,0
708,3
709,3
710,2
712,0
713,3
715,3
718,0
719,2
721,0
725,0
726,3
727,0
729,0
730,0
732,2
735,1
737,1
739,2
743,3
744,3
748,2
750,2
752,3
755,4
756,0
758,3
759,0
761,2
763,0
767,4
769,3
770,0
771,0
772,4
773,4
775,3
779,1
780,1
782,3
784,1
785,4
786,3
787,3
788,3
790,2
793,3
799,4
801,1
802,3
803,0
804,1
807,0
808,2
810,0
811,0
812,4
813,3
814,3
815,3
819,4
820,1
822,1
823,1
824,0
826,1
827,1
829,0
832,0
833,3
834,4
835,2
836,0
837,4
838,3
839,4
840,1
843,3
844,2
853,1
854,2
855,0
857,4
858,0
859,0
861,0
868,1
874,4
875,4
876,0
877,2
883,1
886,2
887,4
888,4
890,0
894,4
895,1
896,2
899,2
902,0
905,4
906,0
908,4
909,1
910,2
911,3
912,3
914,2
916,4
918,2
919,2
920,2
921,0
922,2
925,2
929,3
931,2
934,4
935,0
937,3
940,3
946,3
948,2
951,1
957,2
960,3
961,1
962,1
971,2
972,2
973,4
975,3
977,3
982,1
983,0
985,0
988,4
989,0
991,4
992,1
996,4
998,3
1000,0
1004,2
1005,3
1006,3
1007,2
1008,3
1009,4
1013,2
1014,1
1015,4
1017,0
1020,1
1022,3
1024,1
1025,0
1027,1
1028,2
1029,2
1030,3
1033,2
1034,0
1037,1
1039,2
1041,2
1044,0
1045,2
1049,2
1050,1
1052,0
1054,2
1056,4
1057,0
1058,0
1060,4
1061,0
1062,3
1065,4
1066,2
1068,1
1069,4
1071,3
1073,4
1075,0
1076,3
1077,3
1078,4
1081,2
1084,3
1087,2
1092,0
1093,1
1096,4
1100,1
1102,2
1104,0
1105,0
1106,1
1107,4
1109,1
1112,0
1113,0
1114,2
1120,0
1122,0
1123,2
1124,4
1128,1
1130,2
1131,1
1132,0
1133,0
1135,1
1136,3
1138,4
1140,2
1141,2
1143,3
1145,4
1146,3
1149,4
1150,0
1153,3
1154,4
1156,0
1160,0
1161,1
1162,4
1163,3
1166,1
1167,4
1169,3
1170,0
1172,3
1174,2
1175,1
1177,4
1178,2
1183,2
1184,4
1185,3
1186,4
1190,1
1191,4
1193,2
1195,2
1196,2
1197,4
1198,4
1203,0
1205,4
1207,0
1209,1
1211,4
1214,0
1215,0
1217,0
1219,1
1221,3
1224,1
1227,2
1228,4
1230,4
1231,4
1232,1
1233,1
1237,4
1240,0
1243,2
1244,1
1250,1
1251,1
1252,0
1253,3
1254,3
1257,1
1258,0
1260,2
1263,2
1265,3
1269,4
1272,2
1275,0
1276,1
1277,1
1278,0
1279,1
1280,3
1283,1
1284,3
1288,4
1289,3
1290,4
1291,4
1292,3
1296,2
1298,3
1306,2
1310,4
1311,4
1313,3
1314,4
1315,4
1318,4
1327,2
1328,0
1329,0
1330,2
1331,4
1334,1
1339,1
1343,1
1347,3
1348,2
1349,3
1354,1
1356,2
1357,3
1358,4
1362,3
1364,3
1365,3
1367,2
1370,0
1372,1
1374,2
1375,3
1376,2
1378,4
1379,2
1381,3
1382,4
1385,2
1386,2
1387,1
1388,4
1390,0
1392,1
1393,4
1395,1
1396,0
1397,3
1399,2
1401,3
1406,3
1408,3
1412,1
1413,4
1414,4
1419,1
1421,0
1423,0
1425,0
1426,0
1427,2
1428,3
1429,4
1431,0
1434,1
1436,0
1437,3
1443,4
1445,4
1449,3
1450,4
1451,3
1454,2
1455,3
1457,3
1459,2
1463,1
1466,0
1468,1
1470,1
1472,3
1473,1
1479,1
1480,1
1486,1
1487,2
1488,1
1490,2
1494,3
1497,3
1501,2
1504,3
1507,0
1512,1
1513,3
1514,2
1518,2
1519,4
1520,2
1523,1
1526,2
1527,4
1530,1
1532,3
1534,0
1535,0
1537,0
1541,2
1543,0
1544,2
1545,3
1546,2
1550,4
1551,0
1553,3
1554,4
1555,1
1558,2
1559,0
1561,1
1563,1
1564,3
1565,4
1567,0
1568,3
1570,2
1572,2
1573,2
1575,3
1576,2
1577,4
1579,0
1581,0
1585,1
1586,3
1587,2
1589,1
1594,0
1602,4
1604,1
1605,4
1608,0
1609,3
1610,1
1612,3
1613,1
1614,4
1615,3
1618,1
1622,4
1623,1
1625,0
1626,0
1627,0
1628,1
1631,4
1632,3
1633,1
1634,0
1635,2
1637,1
1639,0
1640,0
1643,4
1645,2
1647,0
1650,3
1652,3
1654,2
1656,2
1657,3
1659,4
1662,3
1665,3
1668,0
1670,4
1672,4
1674,3
1675,1
1678,1
1681,2
1683,3
1685,0
1687,3
1688,0
1689,0
1692,0
1695,2
1699,2
1700,3
1701,1
1703,0
1705,3
1706,4
1707,1
1709,1
1710,0
1711,3
1713,1
1714,1
1718,1
1720,0
1721,2
1724,2
1725,1
1726,1
1727,3
1729,3
1730,2
1731,2
1734,3
1735,2
1737,4
1742,4
1743,0
1749,4
1753,1
1754,0
1755,1
1758,1
1759,3
1763,0
1765,4
1766,1
1769,4
1775,4
1778,0
1779,4
1782,0
1784,2
1785,1
1787,0
1789,2
1791,4
1792,1
1793,0
1797,0
1798,2
1799,3
1800,0
1801,3
1802,4
1804,1
1808,3
1809,3
1810,4
1812,3
1813,0
1814,2
1816,4
1818,0
1819,3
1821,0
1822,1
1823,4
1825,2
1831,1
1833,4
1834,0
1837,3
1844,3
1846,4
1848,4
1849,3
1851,3
1855,1
1856,1
1860,1
1864,2
1866,2
1871,0
1875,4
1881,3
1882,2
1883,3
1884,2
1885,3
1890,3
1891,4
1892,1
1893,3
1895,3
1896,2
1898,0
1899,0
1901,2
1908,3
1910,4
1912,4
1915,3
1916,0
1917,4
1919,1
1920,1
1922,3
1925,2
1926,2
1928,1
1933,3
1934,0
1936,0
1940,4
1942,1
1947,1
1948,2
1950,1
1953,3
1954,0
1959,4
1963,2
1964,2
1965,2
1967,2
1968,2
1969,4
1971,2
1972,1
1973,0
1978,2
1979,2
1981,3
1983,0
1984,2
1985,4
1987,3
1988,2
1990,4
1992,1
1996,1
1997,0
1999,4
2000,0
2004,3
2007,1
2010,3
2011,1
2013,2
2014,3
2017,2
2020,4
2021,3
2022,1
2025,3
2027,0
2028,3
2029,3
2030,2
2033,0
2034,4
2035,2
2036,4
2037,2
2038,2
2039,2
2040,2
2042,3
2043,0
2044,3
2046,2
2049,1
2050,3
2052,2
2054,2
2055,2
2057,1
2058,2
2059,0
2062,4
2068,0
2069,0
2071,4
2073,2
2076,0
2077,2
2080,0
2082,1
2083,0
2084,0
2085,3
2086,4
2088,4
2090,0
2091,3
2094,3
2095,4
2098,3
2099,0
2101,3
2102,2
2105,2
2106,2
2109,1
2110,4
2114,0
2115,3
2116,0
2118,1
2119,3
2120,2
2124,1
2126,0
2130,0
2131,3
2132,0
2133,4
2135,3
2136,0
2140,1
2141,1
2143,0
2146,2
2150,1
2154,2
2155,1
2158,1
2160,3
2161,0
2162,1
2163,4
2166,3
2167,2
2171,2
2172,4
2173,2
2174,4
2175,3
2176,0
2177,4
2179,3
2180,0
2183,0
2185,3
2186,3
2188,4
2191,4
2192,0
2197,0
2198,1
2205,2
2208,1
2211,3
2212,4
2213,0
2214,2
2216,4
2217,1
2219,2
2220,2
2223,3
2226,3
2228,0
2229,1
2231,4
2235,2
2236,4
2237,3
2238,0
2242,2
2243,0
2245,2
2247,1
2248,2
2250,1
2253,1
2254,1
2257,1
2267,0
2270,3
2276,1
2277,4
2278,3
2279,4
2281,0
2282,4
2284,1
2286,0
2288,1
2289,3
2292,3
2294,3
2296,0
2297,2
2298,4
