id,id
0,22305
0,22491
1,9243
1,10943
1,14322
2,16683
2,17109
2,21971
3,468
3,3642
3,4503
3,20762
5,11240
6,1960
6,4327
6,7675
6,10362
6,13371
6,14884
6,20045
6,22066
6,23294
6,24194
8,8090
9,3244
9,6782
9,8794
9,17137
9,18001
9,21051
9,23361
10,4132
10,5123
10,6953
10,9142
10,9331
10,9536
10,10318
10,11752
10,15246
10,20985
12,1850
13,20096
14,13305
14,15403
15,79
15,1952
15,18060
19,9822
19,13319
19,18455
20,15540
21,10656
21,21266
22,11580
23,4386
23,5337
23,16308
23,17698
23,20369
24,16999
25,2017
25,3969
25,4059
25,6010
25,7823
25,9924
25,12426
25,14311
25,16148
25,18235
25,18684
25,19224
25,19296
25,20775
25,22386
25,22835
25,23381
25,23421
25,24140
25,24447
25,24490
25,25023
26,9629
26,14950
26,15460
26,16556
26,17639
27,3664
28,2027
28,14029
29,8140
29,16696
29,22471
29,23241
30,4154
30,5325
30,8578
30,14912
30,15951
30,20048
30,24200
33,4068
33,15342
33,20318
34,662
34,4350
34,12840
34,12860
34,13150
34,17616
34,19800
34,20642
34,22219
34,24480
35,1615
35,2989
35,12498
36,12550
38,988
38,5678
38,16367
38,24598
40,2638
40,4949
40,5954
40,17378
41,24364
42,2557
42,18540
43,8004
43,14678
43,23361
44,165
44,3261
44,5522
44,6082
44,21953
44,24470
46,2287
46,2384
46,3016
46,4059
46,6738
46,7266
46,8469
46,18235
46,19052
46,20992
46,22015
46,22540
46,23381
47,11006
48,1279
48,4987
48,10349
49,3637
49,7796
49,18242
49,23459
49,25434
50,13916
50,16563
52,10788
52,13045
52,17129
53,5475
53,7710
53,9385
53,17074
53,18235
53,23381
55,756
56,3258
56,6322
58,1813
58,3487
58,5485
58,5488
58,7710
58,8436
58,8728
58,11654
58,12484
58,12727
58,13112
58,13195
58,14983
58,15902
58,17749
58,18603
58,21103
58,21406
58,21846
58,23494
59,10863
59,14084
59,14932
59,15607
59,17954
59,19871
59,21700
59,24956
61,22871
61,23656
62,23801
64,2284
64,3445
64,5434
64,6163
64,9565
64,10847
64,11289
64,11524
64,15995
64,18973
64,19291
64,20785
64,23592
69,14227
69,15540
70,10672
71,1528
72,12956
72,21509
73,7979
74,370
74,760
74,1964
74,11348
74,17978
74,22975
75,9582
75,13114
75,16258
75,19139
75,20775
76,8402
76,11769
78,21051
80,20745
82,3827
84,1224
88,12829
88,21139
90,5003
90,17426
91,601
91,1113
91,11286
91,11483
91,11684
91,12249
91,15135
91,15981
91,17607
91,21749
91,23981
92,15213
93,7123
93,20910
93,24570
96,707
96,3922
96,4647
96,9533
96,11569
96,12545
96,14864
96,17177
97,1506
97,7142
97,10624
97,15009
97,18062
97,21286
97,24433
98,6916
98,9141
98,9473
98,10336
98,10349
98,13851
98,14675
98,15614
98,20056
101,1013
101,20547
101,24767
102,746
102,21170
102,23964
102,23986
103,2355
103,3737
103,8004
103,13285
103,13343
103,15568
103,16214
103,16823
103,18140
105,2639
105,11254
106,8652
107,2518
107,11135
107,21234
109,4124
110,11959
110,15683
110,25434
111,11654
111,21766
112,20964
112,22712
113,3019
113,8908
115,11129
116,15478
116,17193
117,22465
118,15054
118,17872
118,22598
119,1278
120,15478
120,18086
120,22120
120,22886
120,24678
121,834
121,8360
121,8816
121,13199
121,13530
121,23676
122,3072
122,6331
125,3433
125,5926
125,9825
125,17245
125,18304
125,23717
125,24501
126,238
126,2315
126,20990
127,5852
127,10221
127,20459
127,21929
128,238
128,7595
128,15565
129,9425
129,10762
129,14807
129,16879
129,18344
129,23705
130,1022
130,1113
130,8269
130,22333
131,10430
131,12824
132,6788
132,7116
132,9211
132,10404
132,18324
132,19245
132,19812
132,21175
132,22086
132,22212
138,3352
138,19393
138,22764
139,8297
139,15798
140,6972
140,9536
140,10187
140,11135
140,11264
140,16195
140,16934
140,17047
140,17071
140,17440
140,22952
141,4874
141,21175
142,5232
143,2022
143,10603
143,14602
143,15025
143,15866
143,17480
143,18243
143,24713
143,25128
145,3471
145,4659
145,7368
145,11635
145,18131
145,18245
145,19649
145,22039
146,2831
146,9585
147,2049
147,4433
147,12332
147,13946
147,19865
148,14029
148,18275
148,22427
151,8727
152,5123
152,7166
152,13294
152,14385
152,16775
152,22653
152,24490
154,13503
155,15212
155,17440
156,1639
156,2440
156,4426
156,7768
156,12707
156,20296
156,22552
156,22597
160,2476
160,4892
160,5566
160,6463
160,12846
160,14850
160,16097
160,16209
160,16332
160,21238
160,24239
160,24804
163,9180
164,6957
164,8517
164,13005
164,16581
164,18345
164,21683
164,22216
164,23549
164,25495
165,11971
166,2829
167,4583
167,9788
167,11140
167,11625
167,22932
168,21819
169,2192
170,2477
170,14957
170,20431
171,4672
171,6037
171,6297
171,6659
171,14232
171,16175
171,19518
171,19644
172,14212
173,549
174,462
174,19671
175,2511
175,2573
175,19218
177,8215
177,17325
179,12344
179,19109
180,13224
180,21558
181,181
181,1419
181,3065
181,5086
181,6949
181,10336
181,15916
181,18219
182,6597
182,9329
182,9391
182,17730
182,20589
183,1301
183,2010
183,8639
183,22990
184,4740
184,8091
184,20461
185,16645
186,2355
186,3532
186,3737
186,3854
186,3923
186,5396
186,6243
186,7771
186,9003
186,9230
186,9604
186,13792
186,14094
186,14895
186,15649
186,16830
186,17115
186,17278
186,18822
186,21403
186,21994
186,22055
186,23015
186,23787
190,4620
190,12001
190,23221
191,4829
191,11407
192,8362
192,11976
192,24681
193,710
193,2092
193,9988
193,19309
194,1227
194,2970
194,8331
194,8916
194,10749
194,12337
194,13461
194,15988
194,16457
194,16568
194,17508
194,18568
194,22955
194,23780
195,12674
196,16202
196,24909
197,2155
197,11361
197,19808
198,9872
198,23381
199,3969
199,4665
199,6602
199,9144
199,15109
199,18684
199,19224
199,21452
199,22386
199,22823
199,25023
199,25326
200,6972
200,10187
200,10718
200,11264
200,12938
200,17047
200,17071
200,18302
200,21234
201,2487
202,1945
202,4409
202,15038
202,15483
202,24342
202,25104
203,3548
204,11311
204,23977
205,512
205,6048
205,6921
205,8591
205,14094
205,18699
205,21471
205,22397
206,1279
206,1326
206,1541
208,3525
208,11021
208,15858
208,16727
210,7094
211,4709
211,4720
211,5432
211,6346
211,6463
211,7855
211,9972
211,14850
211,17134
211,20810
211,24306
211,25445
212,9022
212,15402
212,15607
212,15964
214,5587
214,6217
214,8816
214,9666
214,10547
214,15642
214,18389
214,21830
214,23984
214,24100
214,24320
215,2423
216,13112
216,15902
216,17749
216,21029
217,1165
217,11283
217,13299
217,14272
217,16805
217,18475
217,22841
217,23442
217,23674
217,24940
217,25187
218,8004
218,8794
218,15568
218,23361
219,5687
219,6921
219,8336
219,21471
219,25456
221,12060
221,15491
221,16321
221,18235
221,23381
222,738
222,1154
222,8151
222,11148
222,15328
222,16449
222,19825
222,20489
222,21051
222,21691
222,22350
222,23361
222,23529
223,5244
224,49
224,5232
224,18242
224,21337
225,4298
225,4570
225,4772
225,6270
225,9451
225,11858
225,12493
225,20847
226,15018
226,17104
227,5560
227,5773
227,6407
227,8425
227,9025
227,10965
227,11663
227,13185
227,18466
227,19812
227,21175
228,482
228,6494
228,8687
230,731
230,1706
230,3033
230,5387
230,7999
230,8689
230,23255
230,24163
231,4088
235,13791
236,2407
236,19543
237,5623
240,2289
240,6373
240,11483
240,12097
242,40
242,9896
242,10496
242,10863
242,14916
242,15607
242,15683
242,19985
242,20356
242,22712
243,21175
244,11772
244,11850
244,21054
244,23878
244,23964
244,24501
245,1113
245,2411
245,10457
245,14616
245,14830
245,21633
247,6033
247,14354
247,16550
249,238
249,13564
251,5373
251,5489
251,8371
251,9074
251,11158
251,11803
251,15079
251,16487
251,18059
252,16842
254,11716
254,21302
254,24884
257,4022
259,831
259,4318
259,9865
260,2687
260,16092
261,512
261,3923
261,3970
261,12956
261,23787
261,25206
265,2802
265,6274
265,7710
268,7280
269,22841
269,23442
270,11419
271,12530
271,20327
271,24983
272,1084
272,5875
272,11490
272,15262
272,15683
272,15964
272,17749
272,21719
272,22519
274,15135
274,19808
275,11719
275,17230
275,23315
275,23860
275,25075
276,14864
276,18623
277,10655
278,19583
279,11802
279,15808
280,4509
280,14390
280,24904
282,5530
282,23261
283,1623
283,5690
283,7669
283,8299
283,15668
284,469
286,19241
286,19506
286,25405
288,3064
288,10818
288,14824
288,15328
288,15352
288,20431
288,22538
289,1964
289,2921
289,9865
289,13045
289,22120
291,482
291,707
291,15074
291,16399
291,22627
291,23645
291,23860
293,24939
294,6440
294,12302
295,15301
295,15398
295,23226
296,468
296,1223
296,3642
296,4503
